Accession,Protein Name,Length,Organism Scientific Neme
F7L2V1,ExoX-like_C domain-containing protein,210,Fusobacterium nucleatum subsp. animalis 11_3_2
S8FQP8,Rad52/22 double-strand break repair protein,190,Fomitopsis pinicola (strain FP-58527)
A0A1H7BK91,Single-stranded DNA-binding protein,200,Deinococcus reticulitermitis
A0A1Q6AJP6,Recombinase,235,Escherichia coli
A0A2P8FP00,Rad52/22 double-strand break repair protein,226,Dyadobacter jiangsuensis
A0A5C1AF30,Rad52/22 double-strand break repair protein,244,Limnoglobus roseus
A0A5C4Y5P0,Single-stranded DNA-binding protein,200,Deinococcus radiopugnans ATCC 19172
A0A630N159,Recombinase,235,Salmonella enterica
A0A0J8WVQ7,Recombinase,235,Escherichia coli
A0A2T3V8Q7,Recombinase,235,Escherichia coli
A0A376HSK5,Recombinase,235,Escherichia coli
A0A4P7ZX01,Rad52/22 double-strand break repair protein,225,Synechococcus sp. CB0101
A0A6D1JBR3,Recombinase,235,Salmonella thompson
A0A763VVZ0,Recombinase,235,Salmonella enterica
A0A828UC38,Recombinase,235,Escherichia coli DEC2D
A0A836XE67,Rad52/22 family double-strand break repair protein,213,Candidatus Handelsmanbacteria bacterium
E8U8U2,DNA repair protein Rad52,196,Deinococcus maricopensis (strain DSM 21211 / LMG 22137 / NRRL B-23946 / LB-34)
Q1IZQ7,Single-stranded DNA-binding protein,201,Deinococcus geothermalis (strain DSM 11300 / AG-3a)
W4JYZ8,DNA repair and recombination protein RAD52,193,Heterobasidion irregulare (strain TC 32-1)
A0A090MR82,Rad52/22 double-strand break repair protein,235,Afipia felis
A0A0S2ZQB3,ExoX-like_C domain-containing protein,206,Fusobacterium hwasookii ChDC F174
A0A246EIT0,ExoX-like_C domain-containing protein,210,Fusobacterium nucleatum subsp. polymorphum
A0A319D737,Rad52/22 double-strand break repair protein,171,Aspergillus uvarum CBS 121591
A0A3Y4VDS2,Recombinase,235,Salmonella enterica I
A0A4S1UHF6,Recombinase,235,Escherichia coli
A0A506TZW4,Rad52/22 double-strand break repair protein,234,Pararhizobium mangrovi
A0A5U6ETN4,Recombinase,235,Salmonella enterica I
A0A6C9DUP4,Recombinase,235,Escherichia coli
A0A736ZTX9,Recombinase,235,Salmonella potsdam
A0A7U5TPI7,Recombinase,235,Escherichia coli
L4JDE1,Recombinase,235,Escherichia coli KTE146
A0A223AUW7,ExoX-like_C domain-containing protein,210,Fusobacterium sp. oral taxon 203
A0A376HH60,Recombinase,235,Escherichia coli
A0A3Q0MZE5,Recombinase,235,Escherichia coli
A0A5U9I7L9,Recombinase,235,Salmonella enterica subsp. enterica serovar Saintpaul
A0A826VPJ3,Recombinase,235,Escherichia coli
A0A827N164,Recombinase,235,Escherichia coli
B7UN80,Recombinase,235,Escherichia coli O127:H6 (strain E2348/69 / EPEC)
A0A167GZE9,Rad52/22 double-strand break repair protein,180,Calocera viscosa (strain TUFC12733)
A0A1W1WUW7,DNA repair protein Rad52,221,Nitratiruptor tergarcus DSM 16512
A0A3R0XEP7,Recombinase,235,Salmonella oranienberg
A0A3Z9QZB6,Recombinase,235,Escherichia coli
A0A5C9AHV2,Recombinase,235,Escherichia coli
A0A5K1QM29,Recombinase,235,Escherichia coli
A0A5W2T1M5,Recombinase,235,Salmonella enterica subsp. enterica serovar Bredeney
A0A745DXW0,Recombinase,235,Salmonella enterica
A0A7W1ZGL0,Rad52/22 double-strand break repair protein,145,Acidobacteria bacterium
C7XS93,ExoX-like_C domain-containing protein,210,Fusobacterium nucleatum subsp. vincentii 3_1_36A2
F0JV71,Recombinase,235,Escherichia fergusonii ECD227
F2NL70,Rad52/22 double-strand break repair protein,201,Marinithermus hydrothermalis (strain DSM 14884 / JCM 11576 / T1)
Q9RX92,Single-stranded DNA-binding protein DdrA,208,Deinococcus radiodurans (strain ATCC 13939 / DSM 20539 / JCM 16871 / LMG 4051 / NBRC 15346 / NCIMB 9279 / R1 / VKM B-1422)
A0A080IQL9,Recombinase,235,Escherichia coli 1-250-04_S3_C2
A0A0A0FBG6,Recombinase,235,Escherichia coli G3/10
A0A1F8NKN9,Recombinase RecB,168,Chloroflexi bacterium RBG_13_68_17
A0A3A0FM28,DNA repair protein,221,bacterium
E0IXS3,Recombinase,235,Escherichia coli (strain ATCC 9637 / CCM 2024 / DSM 1116 / LMG 11080 / NBRC 13500 / NCIMB 8666 / NRRL B-766 / W)
A0A0T9LV86,Recombinase,234,Yersinia nurmii
A0A1T2AXM9,Rad52/22 double-strand break repair protein,225,Thioclava sp. DLFJ4-1
A0A209A1K0,Recombinase,234,Yersinia intermedia
A0A2C6BTV6,ExoX-like_C domain-containing protein,206,Fusobacterium nucleatum subsp. polymorphum
A0A2K3V181,Single-stranded DNA-binding protein,202,Deinococcus koreensis
A0A396P1E7,Recombinase,205,Firmicutes bacterium AM29-6AC
A0A403MU19,Recombinase,235,Salmonella enterica
A0A4C9C1J5,Recombinase,235,Escherichia coli
A0A553UZM0,Single-stranded DNA-binding protein,196,Deinococcus detaillensis
A0A5U2LMP6,Recombinase,235,Salmonella enterica
A0A7L6LCK6,Recombinase,235,Escherichia marmotae
A0A7Y5SC62,DNA repair protein Rad52,221,Dehalococcoidia bacterium
E9TC77,Recombinase,235,Escherichia coli MS 117-3
F4SWY9,Recombinase,235,Escherichia coli M605
A0A2C6B6B5,ExoX-like_C domain-containing protein,206,Fusobacterium nucleatum subsp. polymorphum
A0A418VAL3,Single-stranded DNA-binding protein,199,Deinococcus cavernae
A0A562LBY9,Recombinase,225,Bradyrhizobium daqingense
A0A5F0NVD4,Recombinase,235,Escherichia coli
A0A5F1I1B1,Recombinase,235,Escherichia sp. E1130
A0A5H6JUB5,Recombinase,235,Salmonella enterica subsp. enterica serovar Nima
A0A7L5X8C5,Recombinase,235,Escherichia marmotae
B7UG63,Recombinase,235,Escherichia coli O127:H6 (strain E2348/69 / EPEC)
T1FY05,RAD52,178,Helobdella robusta
U9Y2X1,Recombinase,235,Escherichia coli 113303
A0A1X3K0H8,Recombinase,235,Escherichia albertii B156
A0A382DU04,DNA repair and recombination protein rad22,201,marine metagenome
A0A3Z0XW00,Recombinase,235,Salmonella enterica I
A0A7W8I2D8,Single-stranded DNA-binding protein,201,Deinococcus metallilatus
F4VEG4,Recombinase,235,Escherichia coli H591
R0KNI1,DNA repair and recombination protein RAD52,194,Nosema bombycis (strain CQ1 / CVCC 102059)
A0A072N6R6,Single-stranded DNA-binding protein,201,Deinococcus sp. RL
A0A0R0M1V0,DNA repair and recombination protein RAD52,197,Pseudoloma neurophilia
A0A0T9UMB9,Recombinase,234,Yersinia intermedia
A0A3G5KJX9,Recombinase,233,Yersinia pseudotuberculosis
A0A3Z2P2I0,Recombinase,235,Salmonella enteritidis
A0A5I6DZ97,Recombinase,235,Salmonella enterica subsp. enterica serovar Brandenburg
A0A5U6D655,Recombinase,235,Salmonella enterica
A0A5V6PQE0,Recombinase,235,Salmonella enteritidis
A0A5W7B6K9,Recombinase,235,Salmonella enterica subsp. enterica serovar Napoli
A0A5W8HHF9,Recombinase,235,Salmonella enterica subsp. enterica serovar Kentucky
A0A5Y4S0K6,Recombinase,235,Salmonella enterica
A0A722R6V5,Recombinase,235,Salmonella enterica
A0A753TPC0,Recombinase,235,Salmonella enterica
A0A1H0P9M8,Radixin,379,Paenibacillus sp. yr247
A0A2J8RCL2,RAD52 motif-containing protein 1,139,Pongo abelii
A0A3V6D1B8,Recombinase,235,Salmonella enterica I
A0A3Z6KHL9,Recombinase,235,Salmonella typhimurium
A0A5I2K5T9,Recombinase,235,Salmonella blockley
A0A602RQ68,Recombinase,235,Salmonella enterica subsp. enterica serovar Give
A0A6C6ZTM7,Recombinase,235,Salmonella dublin (strain CT_02021853)
A0A7C9HSG2,Single-stranded DNA-binding protein,200,Deinococcus sp. HMF7620
A0A7U9DEM6,Recombinase,235,Escherichia sp. KTE159
M7RXC1,Recombinase,235,Salmonella enterica subsp. enterica serovar Dublin str. UC16
A0A0M9AFZ3,DNA repair protein Rad52,132,Thermus aquaticus
A0A0S2ZIT9,ExoX-like_C domain-containing protein,210,Fusobacterium hwasookii ChDC F300
A0A1X0QBV9,RAD52,195,Hepatospora eriocheir
A0A3R6A287,Single-stranded DNA-binding protein,292,Roseburia intestinalis
A0A433W6T0,DUF1071 domain-containing protein,163,Chroococcidiopsis cubana SAG 39.79
A0A5J6YV67,Single-stranded DNA-binding protein,200,Deinococcus sp. AJ005
A0A5U7Q137,Recombinase,235,Salmonella enterica
A0A5V9HSU5,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A5Y3XFA4,Recombinase,235,Salmonella enterica subsp. salamae
A0A607QH34,Recombinase,235,Salmonella enterica subsp. enterica serovar Bredeney
A0A629C7W3,Recombinase,235,Salmonella enterica subsp. enterica serovar Tennessee
A0A6X8DX63,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A718YH34,Recombinase,235,Salmonella typhimurium (strain SL1344)
A0A730F7S3,Recombinase,235,Salmonella enterica subsp. enterica serovar Rough O:-:-
A0A7W1W4A3,Rad52/22 double-strand break repair protein,145,Acidobacteria bacterium
A0A7X1NT43,DNA end-protection protein DdrA,200,Deinococcus terrestris
A0A7X9EE98,DNA repair protein Rad52,166,Clostridiaceae bacterium
A0A826UB58,Recombinase,235,Escherichia coli
L0A7W9,Rad52/22 double-strand break repair protein,200,Deinococcus peraridilitoris (strain DSM 19664 / LMG 22246 / CIP 109416 / KR-200)
A0A1X0QK57,RAD52,195,Hepatospora eriocheir
A0A2D5RWU3,DUF1738 domain-containing protein,308,Rheinheimera sp.
A0A2K5CTH6,RAD52,121,Aotus nancymaae
A0A3T3IND2,Recombinase,235,Salmonella dublin
A0A3V2EMK3,Recombinase,235,Salmonella montevideo
A0A3Z2V1L0,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A5I0Y963,Recombinase,235,Salmonella enterica subsp. enterica serovar Braenderup
A0A5T6DFH5,Recombinase,235,Salmonella enterica
A0A5Y3LKT2,Recombinase,235,Salmonella enterica I
A0A733ZSE9,Recombinase,235,Salmonella oranienberg
A0A759H2V5,Recombinase,235,Salmonella enterica
A0A7W3H8N7,Recombinase,236,Citrobacter freundii
A0A7W8GD54,Single-stranded DNA-binding protein,201,Deinococcus budaensis
A0A828UC04,Recombinase,235,Escherichia coli DEC2D
C4V7F7,RAD52,199,Nosema ceranae (strain BRL01)
A0A323U403,ExoX-like_C domain-containing protein,208,Fusobacterium nucleatum
A0A5H6LJM2,Recombinase,235,Salmonella virchow
A0A5T2U3C8,Recombinase,235,Salmonella enterica
A0A5U3G2C5,Recombinase,235,Salmonella enterica I
A0A5W2LXW5,Recombinase,235,Salmonella enterica subsp. enterica serovar Lattenkamp
A0A5Y0C758,Recombinase,235,Salmonella thompson
A0A5Y3H4L6,Recombinase,235,Salmonella enterica
A0A733VJW7,Recombinase,235,Salmonella enterica subsp. enterica serovar Javiana
A0A744GUS5,Recombinase,235,Salmonella enterica
A0A059F672,Rad52/22 double-strand break repair protein,196,Anncaliia algerae PRA339
A0A0C9V840,Recombination protein Rad52,190,Hydnomerulius pinastri MD-312
A0A2U9HJR8,Recombinase,235,Escherichia coli
A0A345XZ67,Single-stranded DNA-binding protein,251,Streptomyces armeniacus
A0A350TWL9,Recombinase,207,Tyzzerella sp.
A0A4P9SZ99,Recombinase,235,"Salmonella enterica subsp. enterica serovar 1,4,[5],12:i:-"
A0A5H8VT32,Recombinase,235,Salmonella muenster
A0A5V9NFD4,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A5Y8G9A2,Recombinase,235,Salmonella enteritidis
A0A6C8LLA8,Recombinase,235,Salmonella enterica subsp. enterica serovar Lubbock
A0A6N9P219,Rad52/22 double-strand break repair protein,256,Clostridiaceae bacterium
A0A745KQK0,Recombinase,235,Salmonella enterica
A0A828GDH4,Recombinase,235,Escherichia coli
U7TSN4,ExoX-like_C domain-containing protein,204,Fusobacterium nucleatum CTI-6
A0A137P4J8,Rad52/22 double-strand break repair protein,171,Conidiobolus coronatus (strain ATCC 28846 / CBS 209.66 / NRRL 28638)
A0A3V8RG54,Recombinase,235,Salmonella enterica I
A0A5I0DDJ3,Recombinase,235,Salmonella enterica subsp. enterica serovar Indiana
A0A627X032,Recombinase,235,Salmonella diarizonae
A0A635VDP8,Recombinase,235,Salmonella enterica
A0A661QA22,Single-stranded DNA-binding protein,187,Deltaproteobacteria bacterium
A0A6Y1Y7G9,Recombinase,235,Salmonella infantis
A0A852V7Z1,Rad52/22 double-strand break repair protein,290,Streptosporangium sandarakinum
A0A1Q3QUR9,Recombinase,292,Acidobacteriales bacterium 59-55
A0A3Q9MN42,Recombinase,235,Salmonella enterica subsp. enterica serovar Karamoja
A0A4U6HCZ7,Recombinase,241,Citrobacter sp. wls714
A0A5V3BP19,Recombinase,235,Salmonella enterica
A0A5V6ABS7,Recombinase,235,Salmonella enterica subsp. enterica serovar Agona
A0A5X8YP63,Recombinase,235,Salmonella enterica subsp. enterica serovar Kisarawe
A0A5Y1WC06,Recombinase,235,Salmonella enterica subsp. salamae
A0A5Z7ZF74,Recombinase,235,Salmonella anatum
A0A702FD94,Recombinase,235,Salmonella enterica subsp. enterica serovar Bovismorbificans
A0A729J2Z3,Recombinase,235,"Salmonella enterica subsp. houtenae serovar 48:z4,z32:-"
A0A736LS70,Recombinase,235,Salmonella enterica subsp. enterica serovar Javiana
A0A7G7GVI8,Recombinase,235,Salmonella enterica
A0A7L7E613,Recombinase,235,Escherichia coli
A0A7Z1QQB7,Recombinase,235,Salmonella enterica subsp. enterica serovar Gaminara
A0A0P8H7J8,Recombinase,241,Citrobacter freundii
A0A264VLC3,Recombinase,236,Providencia rettgeri
A0A2M7FZS1,Recombinase,245,bacterium (Candidatus Blackallbacteria) CG17_big_fil_post_rev_8_21_14_2_50_48_46
A0A3U8B329,Recombinase,235,Salmonella enterica I
A0A3U8PFI6,Recombinase,235,Salmonella berta
A0A3V3HL03,Recombinase,235,Salmonella montevideo
A0A3V5IHU2,Recombinase,235,Salmonella enterica subsp. enterica serovar Tennessee
A0A5H5SXJ3,Recombinase,235,Salmonella enterica subsp. enterica serovar Kottbus
A0A5I0ZIX9,Recombinase,235,Salmonella enterica subsp. enterica serovar Cotham
A0A5V8EC12,Recombinase,235,Salmonella virchow
A0A5Y0QID6,Recombinase,235,Salmonella enterica subsp. enterica serovar Weltevreden
A0A5Z5AUG1,Recombinase,235,Salmonella enterica
A0A5Z9C9R3,Recombinase,235,Salmonella enterica subsp. enterica serovar Braenderup
A0A628M6H4,Recombinase,235,Salmonella newport
A0A632TZH5,Recombinase,235,Salmonella enterica subsp. arizonae
A0A6X8N4G3,Recombinase,235,Salmonella enterica subsp. enterica serovar Give
A0A701UUG9,Recombinase,235,"Salmonella enterica subsp. houtenae serovar 45:g,z51:-"
A0A750MG43,Recombinase,235,Salmonella enterica
A0A754SXP6,Recombinase,235,Salmonella enterica
G5Q5N3,Recombinase,235,Salmonella enterica subsp. enterica serovar Montevideo str. S5-403
A0A1F6SCS5,Recombinase,231,Candidatus Melainabacteria bacterium RIFOXYA12_FULL_32_12
A0A2J8LJJ9,RAD52 motif-containing protein 1,137,Pan troglodytes
A0A2J8RCN8,RAD52 motif-containing protein 1,137,Pongo abelii
A0A3T2WJJ1,Recombinase,235,Salmonella enterica subsp. enterica serovar Orion
A0A3U9HDI3,Recombinase,235,Salmonella infantis
A0A3W0QG20,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A3Y1BRA4,Recombinase,235,Salmonella typhimurium
A0A5H8WYE9,Recombinase,235,Salmonella virchow
A0A5T2MFI2,Recombinase,235,Salmonella enterica
A0A5U6JK82,Recombinase,235,Salmonella enterica subsp. enterica serovar Schwarzengrund
A0A5V4EDY7,Recombinase,235,Salmonella enterica
A0A5W4KB81,Recombinase,235,Salmonella enterica subsp. enterica serovar Typhimurium var. 5-
A0A5Z3IF56,Recombinase,235,Salmonella enterica
A0A6D2DWM9,Recombinase,235,Salmonella hadar
A0A736RCQ7,Recombinase,235,"Salmonella enterica subsp. houtenae serovar 45:g,z51:-"
A0A739LTC9,Recombinase,235,Salmonella enterica subsp. enterica serovar Braenderup
A0A757THY0,Recombinase,235,Salmonella enterica
A0A7W3F9C2,Recombinase,241,Citrobacter freundii
A0A0M0GYH4,Recombinase,225,Aneurinibacillus migulanus
A0A143XLZ5,ERF superfamily protein,215,Alistipes sp. CHKCI003
A0A2A4R7X8,Recombinase,218,Hyphomicrobiales bacterium
A0A2T8SV40,Recombinase,235,Salmonella enterica
A0A3G8YGX4,Single-stranded DNA-binding protein,196,Deinococcus psychrotolerans
A0A3U4DNH3,Recombinase,235,Salmonella enterica subsp. enterica serovar Weltevreden
A0A3U4YDB3,Recombinase,235,Salmonella enterica I
A0A3V2YQC1,Recombinase,235,Salmonella infantis
A0A3X9RFE5,Recombinase,235,Salmonella enterica I
A0A4Q9KYU6,RAD52,203,Hamiltosporidium tvaerminnensis
A0A4S4CIA5,Single-stranded DNA-binding protein,203,Deinococcus sp. KSM4-11
A0A5T2F7A2,Recombinase,235,Salmonella enterica
A0A5T3CS86,Recombinase,235,Salmonella enterica
A0A5V4PMD3,Recombinase,235,Salmonella enterica
A0A5V7YQM8,Recombinase,235,Salmonella enterica subsp. enterica serovar Java
A0A5W2A4D7,Recombinase,235,Salmonella montevideo
A0A5Y3A4D6,Recombinase,235,Salmonella enterica
A0A626RJ97,Recombinase,235,Salmonella enterica I
A0A627IEZ2,Recombinase,235,Salmonella muenchen
A0A634LCW8,Recombinase,235,Salmonella infantis
A0A6Y5CXD0,Recombinase,235,Salmonella derby
A0A722ETM8,Recombinase,235,Salmonella enterica
A0A739SGJ3,Recombinase,235,Salmonella derby
A0A7L6LAP9,Recombinase,235,Escherichia marmotae
Q1RMF2,RAD52,121,Homo sapiens
A0A0A7KJL1,Single-stranded DNA-binding protein,200,Deinococcus radiopugnans
A0A0K2WK63,Rad52/22 double-strand break repair protein,175,Aneurinibacillus migulanus
A0A133P179,Essential recombination function protein,208,Fusobacterium nucleatum
A0A271KFT8,Recombinase,235,Mesorhizobium wenxiniae
A0A290HH98,DNA repair protein Rad52,217,Sulfurospirillum sp. JPD-1
A0A3V8SD40,Recombinase,235,Salmonella senftenberg
A0A4Q9LM67,RAD52,203,Hamiltosporidium magnivora
A0A500EDI4,Recombinase,235,Salmonella infantis
A0A5T3RSA8,Recombinase,235,Salmonella enterica
A0A5U5M7U9,Recombinase,235,Salmonella enterica
A0A5U9SPS6,Recombinase,235,Salmonella enterica subsp. enterica serovar Bareilly
A0A5Y2X9M7,Recombinase,235,Salmonella enterica subsp. enterica serovar Java
A0A5Y4F8J3,Recombinase,235,Salmonella enterica
A0A5Z6XRM4,Recombinase,235,Salmonella blockley
A0A633FZT5,Recombinase,235,Salmonella enterica
A0A636KAM5,Recombinase,235,Salmonella enterica subsp. enterica serovar Uzaramo
A0A722TWR1,Recombinase,235,Salmonella enterica
A0A760DL36,Recombinase,235,Salmonella enterica
A0A7C6SUN9,DNA repair protein Rad52,166,Thermoanaerobacterales bacterium
A9MNQ0,Recombinase,235,Salmonella arizonae (strain ATCC BAA-731 / CDC346-86 / RSK2980)
G5R369,Recombinase,235,Salmonella enterica subsp. enterica serovar Senftenberg str. A4-543
A0A315FZ11,Recombinase,235,Salmonella enterica I
A0A3R0PRW1,Recombinase,235,Salmonella enterica subsp. enterica serovar Kentucky
A0A3V3UCH7,Recombinase,235,Salmonella typhimurium
A0A3V9PSH3,Recombinase,235,Salmonella enterica subsp. enterica serovar Bredeney
A0A4Z8YZI7,Recombinase,235,Salmonella enterica subsp. enterica serovar Bareilly
A0A5H3VKF6,Recombinase,235,Salmonella enterica subsp. enterica serovar Braenderup
A0A5I4PXV3,Recombinase,235,Salmonella enterica subsp. enterica serovar Heidelberg
A0A5W3KD60,Recombinase,235,Salmonella montevideo
A0A5W4F165,Recombinase,235,Salmonella enterica subsp. enterica serovar Ohio
A0A5X5V095,Recombinase,235,Salmonella thompson
A0A5Y7W9R6,Recombinase,235,Salmonella enterica
A0A5Z1ZI89,Recombinase,235,Salmonella enterica
A0A605EN65,Recombinase,235,Salmonella muenchen
A0A636P2K6,Recombinase,235,Salmonella enterica subsp. enterica serovar Guildford
A0A637XT78,Recombinase,235,Salmonella enterica subsp. enterica serovar Bareilly
A0A639BUX3,Recombinase,235,Salmonella enterica subsp. enterica serovar Mbandaka
A0A6C8H7S1,Recombinase,235,Salmonella enterica subsp. enterica serovar Uganda str. R8-3404
A0A6Y2TB75,Recombinase,235,Salmonella typhimurium
A0A6Y4N6E3,Recombinase,235,Salmonella enterica subsp. enterica serovar Corvallis
A0A723H1P2,Recombinase,235,Salmonella enterica
